Asset,Pattern,Direction,Holding Period,total_return,mean_return,std_return,sharpe_ratio,max_drawdown,profit_factor,win_rate,n_trades
XAU/USD,hammer,long,1,-0.03888878964429998,-8.787803069978133e-05,0.002402178892662456,-0.036582633778112036,-0.08009863816611729,0.8882172002406096,0.5125858123569794,437.0
XAU/USD,hammer,long,3,-0.06161654387875415,-0.00013737305928003763,0.00403613716886927,-0.03403577567670301,-0.10368213592633646,0.9003809885567383,0.5148741418764302,437.0
XAU/USD,hammer,long,5,-0.11235268817216315,-0.0002543420198675992,0.006045239095883171,-0.04207311172205033,-0.18403359460365354,0.8686187559220264,0.494279176201373,437.0
XAU/USD,bullish_engulfing,long,1,0.0009171957744358306,2.6041173064600105e-06,0.002131022660126189,0.0012220035737704482,-0.1445429369415252,1.0038215688757661,0.49727371864776443,2751.0
XAU/USD,bullish_engulfing,long,3,0.0037932093983812365,8.923399987677847e-06,0.0038818880045219544,0.002298726799249002,-0.26638635865279126,1.0072021938305658,0.5,2750.0
XAU/USD,bullish_engulfing,long,5,0.3135590516528193,0.00011065248157059267,0.004787332193944534,0.023113600036061062,-0.29206753273489283,1.0711662654041165,0.5101818181818182,2750.0
XAU/USD,morning_star,long,1,-0.10847877136558504,-5.4785028818439915e-05,0.002291510451642437,-0.023907824107532574,-0.15459408981759615,0.9250052986890392,0.4845,2000.0
XAU/USD,morning_star,long,3,0.09480339852106856,5.327089041683619e-05,0.00399279972354641,0.01334173865588252,-0.17887881991961208,1.0431077356555833,0.5115,2000.0
XAU/USD,morning_star,long,5,0.4521136708148201,0.00019897930868313662,0.004986965711645688,0.03989987503192074,-0.17599344584987642,1.1277782906494505,0.517,2000.0
XAU/USD,hanging_man,short,1,-0.013823302878911092,-2.6152237274817866e-05,0.002041681041462273,-0.012809168887657088,-0.04808708134716,0.9606629385102351,0.5294117647058824,493.0
XAU/USD,hanging_man,short,3,-0.08251921601540191,-0.00016819701535402735,0.003601726304290027,-0.04669899963072913,-0.11073782068070892,0.8680066415190604,0.5152129817444219,493.0
XAU/USD,hanging_man,short,5,-0.1254653323741165,-0.00026144181922253145,0.004574549186709998,-0.05715138444288095,-0.17066777482008044,0.8465286249077952,0.5192697768762677,493.0
XAU/USD,bearish_engulfing,short,1,0.009653180025841701,6.754777169710855e-06,0.002554524791457285,0.0026442402094901743,-0.13443811000584338,1.0087780545717455,0.47007299270072994,2740.0
XAU/USD,bearish_engulfing,short,3,-0.16051896855333947,-5.5569657161641764e-05,0.004081093550295293,-0.01361636445643863,-0.24469632994276136,0.9576066967524896,0.4624087591240876,2740.0
XAU/USD,bearish_engulfing,short,5,-0.265945721458387,-9.9696062599278e-05,0.005138471401967043,-0.01940189110736583,-0.37755181537618343,0.941550949705793,0.45255474452554745,2740.0
XAU/USD,evening_star,short,1,-0.12277055891577426,-6.0830436977837485e-05,0.0024027222124428675,-0.025317299129636248,-0.22793156965747607,0.9202493120918752,0.4790856031128405,2056.0
XAU/USD,evening_star,short,3,-0.21506310873759427,-0.00011065829542657281,0.003775239448571209,-0.029311596505078096,-0.3328210237647282,0.9127217093427428,0.4693579766536965,2056.0
XAU/USD,evening_star,short,5,-0.3850387317538796,-0.00022447280864310704,0.004921045487242907,-0.04561486156245051,-0.5053358083588104,0.8701305717041775,0.4666666666666667,2055.0
