Asset,Pattern,h,N_pattern,N_nonpattern,Mean_pattern,Std_pattern,Median_pattern,Positive_ratio,t_test_pvalue_vs_0,Mann_Whitney_pvalue_pattern_vs_nonpattern,Levene_pvalue_pattern_vs_nonpattern,KS_pvalue_pattern_vs_nonpattern
XAU/USD,bearish_engulfing,1,2740,34125,-6.754777169710855e-06,0.002554524791457285,9.540140904534998e-05,0.5291970802919708,0.8899243733169461,0.1798623282168752,6.438473963545144e-05,0.06479227720928249
XAU/USD,bearish_engulfing,3,2740,34123,5.5569657161641764e-05,0.004081093550295293,0.00020532829407160649,0.5375912408759124,0.47606197356567737,0.2765199482000449,0.2064269199133416,0.26082304435855475
XAU/USD,bearish_engulfing,5,2740,34121,9.9696062599278e-05,0.005138471401967043,0.0003521753712413894,0.5463503649635036,0.30991333565037427,0.17192312871816684,0.959977536119635,0.015660360144951178
XAU/USD,bullish_engulfing,1,2751,34114,2.6041173064600105e-06,0.002131022660126189,-9.767151117399125e-06,0.49727371864776443,0.9488999912604194,0.1581261560093271,0.16219210510580606,0.13773118719955801
XAU/USD,bullish_engulfing,3,2750,34113,8.923399987677847e-06,0.0038818880045219544,2.724209230154627e-06,0.5,0.9040592537270437,0.07686436516074588,0.9710013361223324,0.036317180239334945
XAU/USD,bullish_engulfing,5,2750,34111,0.00011065248157059267,0.004787332193944534,8.931299681326184e-05,0.5101818181818182,0.2255830870361315,0.17130024708156855,0.3114042606831779,0.14052672636122565
XAU/USD,doji,1,3929,32936,9.202378718292515e-06,0.002076231818942927,2.3945213353012444e-05,0.5072537541359124,0.7811642910110002,0.502843495588939,0.01753292300808152,0.4348428542934769
XAU/USD,doji,3,3928,32935,8.492656941076064e-05,0.0037797800106722894,0.0001114491782049304,0.5211303462321792,0.15915249733939715,0.654334127738891,0.20798015173506879,0.6238181391799903
XAU/USD,doji,5,3928,32933,0.00010270847114819769,0.004855117195257971,8.33823180455712e-05,0.5109470468431772,0.18496863316682094,0.26193748635760206,0.08332857567847589,0.4093471434536424
XAU/USD,evening_star,1,2056,34809,6.0830436977837485e-05,0.0024027222124428675,6.123302753130116e-05,0.5179961089494164,0.25111632251250815,0.20199411004986056,0.17527835255903784,0.14271554479609772
XAU/USD,evening_star,3,2056,34807,0.00011065829542657281,0.003775239448571209,0.00013666971109403203,0.5286964980544747,0.18396921199189006,0.9597878507699418,0.29418757153950437,0.5080376610989012
XAU/USD,evening_star,5,2055,34806,0.00022447280864310704,0.004921045487242907,0.0002626542060729219,0.5333333333333333,0.03878210515337438,0.360513020272061,0.4158054183201405,0.423209876736537
XAU/USD,hammer,1,437,36428,-8.787803069978133e-05,0.002402178892662456,4.1344523923719515e-05,0.5125858123569794,0.4448381188508824,0.47183753218558755,0.39383767612962606,0.7552822196615785
XAU/USD,hammer,3,437,36426,-0.00013737305928003763,0.00403613716886927,6.110726363568235e-05,0.5148741418764302,0.47715345283013433,0.534775786658095,0.36327413686566734,0.4130868485869055
XAU/USD,hammer,5,437,36424,-0.0002543420198675992,0.006045239095883171,-3.390730872355998e-05,0.494279176201373,0.37960428392838763,0.31772917893283603,0.07132820573580041,0.5882401846062872
XAU/USD,hanging_man,1,493,36372,2.6152237274817866e-05,0.002041681041462273,-9.858172043469657e-05,0.47058823529411764,0.7762160851408477,0.19162100880002197,0.16809095861523896,0.13099566979438104
XAU/USD,hanging_man,3,493,36370,0.00016819701535402735,0.003601726304290027,-0.00010440933689974418,0.4827586206896552,0.30029829541055614,0.8209952980722495,0.41245113868702343,0.221049387029018
XAU/USD,hanging_man,5,493,36368,0.00026144181922253145,0.004574549186709998,-0.00013815627707382386,0.48073022312373226,0.20505294978548771,0.5747213542967052,0.3863044632415721,0.11337443021435167
XAU/USD,morning_star,1,2000,34865,-5.4785028818439915e-05,0.002291510451642437,-3.389849983832837e-05,0.4845,0.2851129726285182,0.006565596130902407,0.8860476301212756,0.0025038927609703316
XAU/USD,morning_star,3,2000,34863,5.327089041683619e-05,0.00399279972354641,5.9676801807774095e-05,0.5115,0.5508015055489884,0.38965078698971944,0.5932352308803854,0.5313173271174257
XAU/USD,morning_star,5,2000,34861,0.00019897930868313662,0.004986965711645688,0.00015930881558425826,0.517,0.07451410397120542,0.9128538713566365,0.8041780302229532,0.7432817274584429
XAU/USD,spinning_top,1,4634,32231,7.788421251196998e-06,0.0021418739766240016,1.2208006245479142e-05,0.5021579628830384,0.8045065356095453,0.08746422283214085,0.08769770851658408,0.04920942941736828
XAU/USD,spinning_top,3,4634,32229,0.00014310897401962854,0.0036489528790385967,0.00010477152298835632,0.5185584807941304,0.0076164222982846455,0.8104322209286747,0.0148611135785837,0.36556842413491997
XAU/USD,spinning_top,5,4633,32228,0.000311502636304173,0.004736766466095124,0.00020120991767010656,0.5251456939348155,7.780226766214547e-06,0.14337562975073234,0.061078660439818466,0.16417358530904436
