Asset,Pattern,Direction,Holding Period,Gross total_return,Gross sharpe_ratio,Gross max_drawdown,Gross profit_factor,Gross win_rate,Gross n_trades,Net total_return,Net sharpe_ratio,Net max_drawdown,Net profit_factor,Net win_rate,Bootstrap mean_return CI lower,Bootstrap mean_return CI upper,Bootstrap sharpe_ratio CI lower,Bootstrap sharpe_ratio CI upper,Bootstrap profit_factor CI lower,Bootstrap profit_factor CI upper
EUR/USD,hammer,long,1,-0.001654005822729232,-0.003464086381881746,-0.029310347788890856,0.9899001060466418,0.49889135254988914,451.0,-0.04568150927977732,-0.11053561725808282,-0.06388942474514558,0.7233217043342721,0.44124168514412415,-0.00018441913118119642,-2.3330229845401696e-05,-0.20700946034557205,-0.027235182868187803,0.5511331505803444,0.9243061441018565
EUR/USD,hammer,long,3,-0.019653013783057505,-0.02592764711326805,-0.0455906543321527,0.9274456268340567,0.49002217294900224,451.0,-0.06288849679661612,-0.08670663351359363,-0.08054042327573652,0.7771310170934126,0.4634146341463415,-0.0002941056611913607,2.137492688781914e-06,-0.18309556911261027,0.001347479098178657,0.5859601452014648,1.0037947253009354
EUR/USD,hammer,long,5,0.04668278657700964,0.04946630366134262,-0.0314431085797362,1.151216916328414,0.5476718403547672,451.0,0.0005282613916588463,0.0016021312294907323,-0.04324074765133923,1.0045849032176404,0.5210643015521065,-0.0001892973477936722,0.00019875271494033245,-0.09239746400380494,0.09308929835693984,0.7711486613641927,1.3106044507893782
EUR/USD,bullish_engulfing,long,1,-0.08123900834996989,-0.024099606645909932,-0.1301266114918137,0.9281045856840753,0.4785923753665689,3410.0,-0.34672360110777845,-0.12312363637578846,-0.3501313241727462,0.6843446052330017,0.41114369501466275,-0.00015680825345051587,-9.310329183227115e-05,-0.1573225512432321,-0.09171326474882821,0.6166609405630027,0.7530590002579652
EUR/USD,bullish_engulfing,long,3,-0.07394279401130643,-0.012090069057396659,-0.17477902332296003,0.9646445776252446,0.4935483870967742,3410.0,-0.3415354002339033,-0.06961669389482814,-0.36675163925360077,0.8129699070503627,0.45161290322580644,-0.0001793505721893127,-6.11763674951235e-05,-0.10300935020812177,-0.034977834753639234,0.7359476112022045,0.901786514493343
EUR/USD,bullish_engulfing,long,5,-0.031072515456980532,-0.0030708090344533185,-0.11440838222731542,0.9910994473730869,0.4912023460410557,3410.0,-0.3110499797048645,-0.048208116400654706,-0.3237158392028986,0.8692007624161194,0.4621700879765396,-0.00018362626443476897,-3.704507958732359e-05,-0.08162131688002498,-0.01649729157977112,0.7861737129880038,0.9531705067004635
EUR/USD,morning_star,long,1,-0.04167848612269354,-0.01988862315147455,-0.08240315789883357,0.939037858407342,0.48417408506429277,2022.0,-0.21712827683762126,-0.11680197988301555,-0.22229156848121456,0.6924337855650261,0.4050445103857567,-0.0001648115816637306,-7.414507133879132e-05,-0.16253281211106352,-0.07263290721101473,0.6003953059151067,0.7994858430399873
EUR/USD,morning_star,long,3,-0.01923085370450006,-0.0045442480760999274,-0.11465956438244862,0.9866900765551604,0.4982681840672934,2021.0,-0.1987085465092887,-0.061044694433114714,-0.2321069200440501,0.8353234832122077,0.46660069272637306,-0.0001940499853567239,-3.487278954359525e-05,-0.10989840010734937,-0.01976679695669964,0.7246197351776305,0.9433902472620602
EUR/USD,morning_star,long,5,-0.0018742685500593437,0.0007690686719039884,-0.1360557969309485,1.002271334423571,0.4982681840672934,2021.0,-0.18452692256656067,-0.04206294071968263,-0.2461220783772895,0.8833417763395224,0.47798119742701634,-0.00020559169473361943,-1.1986514944760116e-06,-0.08686170698381854,-0.0005205821379305352,0.7725905762194588,0.9984697688171545
EUR/USD,hanging_man,short,1,0.01701401415770243,0.042109703249009624,-0.021313538237468288,1.1255959115620509,0.5245535714285714,448.0,-0.027543246912659858,-0.06851154594449888,-0.041611223707805345,0.8252449851452659,0.453125,-0.00013671186694253677,2.280318435750178e-05,-0.15582645784313753,0.024413343332012095,0.6483664410782641,1.0709299866358872
EUR/USD,hanging_man,short,3,-0.004585630982768318,-0.005172336334836313,-0.054149751522000966,0.9852882671196623,0.5066964285714286,448.0,-0.04819865952466518,-0.06387283585185574,-0.06403156006596711,0.8324796547417135,0.4732142857142857,-0.0002644876695314174,4.51978910568057e-05,-0.15722530723996853,0.027913847333091192,0.6399528240681923,1.0811783449773287
EUR/USD,hanging_man,short,5,-0.010679286882619987,-0.009237747454684083,-0.05660613894135058,0.9745508449936409,0.5089285714285714,448.0,-0.0540259606222393,-0.052589551127105144,-0.0703498222865856,0.863313965206306,0.4888392857142857,-0.000341671043786375,8.576192249229739e-05,-0.14071955723935275,0.03818787351886867,0.6700272107889169,1.108744400810302
EUR/USD,bearish_engulfing,short,1,-0.051155986592061,-0.014200294677842713,-0.10306846021960459,0.9567974786635588,0.4929906542056075,3424.0,-0.3262751069957889,-0.11019135402362291,-0.3341187109156546,0.710322534203152,0.4255257009345794,-0.00015226998743116067,-8.146829450035078e-05,-0.1447403337466945,-0.07748543602778611,0.6386213968179597,0.7848240527721215
EUR/USD,bearish_engulfing,short,3,0.007711832593797041,0.002155109489539309,-0.1316293399111912,1.0065792765256483,0.4856892523364486,3424.0,-0.2844720600950854,-0.05481524873165707,-0.29161195449442945,0.8468169486786223,0.45414719626168226,-0.00015530307613121472,-3.9638241226461185e-05,-0.09025598137865519,-0.022416615828534683,0.7625255521659986,0.9334142607063961
EUR/USD,bearish_engulfing,short,5,0.035847432410287094,0.00574030627419445,-0.15181350490732026,1.0170934041744233,0.4804322429906542,3424.0,-0.2644925247325426,-0.03927771499476236,-0.28281311139600485,0.8908112645704753,0.45619158878504673,-0.00015904036576859596,-1.4696227464667745e-05,-0.07223147242285809,-0.006308452926641103,0.8092341739045835,0.981232944365912
EUR/USD,evening_star,short,1,-0.0075291660447842634,-0.002714100020381869,-0.06396224129808392,0.9916472063663653,0.4819451131439576,2077.0,-0.1936754285290565,-0.09258743124705512,-0.1984365055639219,0.7522961952035198,0.4275397207510833,-0.00015107950626947462,-5.7153884567564236e-05,-0.1337482617693943,-0.050138757235924626,0.659250365492562,0.8548607174093242
EUR/USD,evening_star,short,3,-0.005317840694901821,-0.0005765443461244479,-0.11604265323565699,0.9982848938873473,0.47520462205103514,2077.0,-0.19187883246172122,-0.05732872285513892,-0.21486150348173083,0.8436447756776851,0.4496870486278286,-0.00018531607566990717,-2.566158019339914e-05,-0.10468010968754407,-0.014056129641294827,0.7327897947239307,0.9581461789806813
EUR/USD,evening_star,short,5,0.0391922187015421,0.009360047278118675,-0.1303565781695264,1.0280274524098871,0.4867597496389023,2077.0,-0.15571348257018358,-0.0351434396810776,-0.219008966403063,0.9016656946288968,0.45690900337024554,-0.000175710098973415,1.60381858048208e-05,-0.07918392239692729,0.007229741828654232,0.790739504369737,1.0214912324825889
