Asset,Pattern,h,High N,Low N,High Mean,Low Mean,High Std,Low Std,Welch t-test p-value,Mann-Whitney p-value,Levene p-value,KS p-value
EUR/USD,bearish_engulfing,1,1599,1825,1.3463097988055798e-05,1.5958871975124947e-05,0.0011927042024696807,0.0008890337928084909,0.945294430192793,0.8549847345859002,4.054785796432948e-15,0.0008381698205538704
EUR/USD,bearish_engulfing,3,1599,1825,-4.528046635459725e-06,-3.129955975423707e-06,0.002048387732720851,0.0014512317090065387,0.9818547185254612,0.5196944545578732,7.012503852044095e-19,0.00012029767419553484
EUR/USD,bearish_engulfing,5,1599,1825,-2.209543852204202e-05,-4.563979095354334e-06,0.0025570492664520913,0.0018792184159939248,0.8213139858456964,0.6392011282096979,3.297291448842896e-18,5.400567538492609e-05
EUR/USD,bullish_engulfing,1,1544,1866,-5.8689883710768916e-05,4.087656934899494e-06,0.0011990616228128356,0.0008202374939099857,0.08080626509189287,0.01974798435077257,8.581262690921606e-25,1.993170989158479e-09
EUR/USD,bullish_engulfing,3,1544,1866,-2.645980591265749e-05,-1.6512455186255208e-05,0.0020263674290510896,0.0014581447184695649,0.8717970922016645,0.5212896103691809,9.778574593408549e-21,9.885605678202055e-05
EUR/USD,bullish_engulfing,5,1544,1866,4.3687110202884934e-06,-1.6047380161460275e-05,0.00258493443217814,0.001855619697132693,0.7949973646765542,0.920420251526297,3.0513795265842433e-20,0.0004219540417934037
EUR/USD,doji,1,2018,1929,3.549177153526243e-05,-1.072465100048728e-06,0.0011806900359747372,0.0007437544170868373,0.24230108609183756,0.6645021761649972,7.461073545274713e-31,1.2547813729986826e-06
EUR/USD,doji,3,2018,1928,4.998701366534409e-05,-1.2564940097787579e-05,0.0019432629635601575,0.0013393582269262728,0.23738082415100487,0.3048486072345429,1.102643724815601e-27,3.338610196239444e-08
EUR/USD,doji,5,2018,1927,0.00012330299861691954,4.619056848656474e-05,0.00247223859360423,0.0017735140094255442,0.2587612672747738,0.2711221207439558,5.8286464546816e-22,0.0002047327003812283
EUR/USD,evening_star,1,956,1121,5.3753792905136826e-06,1.0111552501930261e-06,0.001324587147981471,0.0008937309280356222,0.9311102091490788,0.8598959783850423,1.1352259403379247e-12,0.003075552787572012
EUR/USD,evening_star,3,956,1121,-3.5031950111612646e-05,3.17578633519736e-05,0.0020811066705077636,0.001435261483782409,0.40273021116809526,0.39291404501202853,5.3801030499973825e-14,0.0009494666022663224
EUR/USD,evening_star,5,956,1121,-3.668557974361483e-05,-7.682778469328505e-06,0.0025993480791937306,0.0018966335465038463,0.7748365342942825,0.8467684147505135,4.448682391630463e-13,0.0008980074360298188
EUR/USD,hammer,1,219,232,-2.426047335218952e-05,1.6611736562479202e-05,0.0010191130519994441,0.0008475105258268844,0.6445682412062792,0.4726565261019494,0.013206135367504921,0.18491317796566192
EUR/USD,hammer,3,219,232,-3.875330679528761e-05,-4.634564557745483e-05,0.0018215842307549139,0.0014635487471864545,0.9612447058082727,0.5745914666717655,0.004256319317174415,0.09887863117837316
EUR/USD,hammer,5,219,232,0.00016720063344472205,4.307184859987608e-05,0.0023180074251644214,0.0018506362919346688,0.5315470813517313,0.5482817736045553,0.019619371179311493,0.10585938309866012
EUR/USD,hanging_man,1,248,200,-4.773565107466004e-05,-2.6076885147817048e-05,0.0010353005024766203,0.0007106003462612477,0.7936354219045342,0.5304972552531573,0.0001546714048576346,0.0771088456270419
EUR/USD,hanging_man,3,248,200,9.039371255560393e-06,8.528717628917566e-06,0.0019376363495930407,0.0013633858342173345,0.9973948663042709,0.8725736430180442,0.0006724922511563003,0.2022876648599031
EUR/USD,hanging_man,5,248,200,1.6395764698403383e-05,2.740095506100184e-05,0.00256201974335476,0.0019505668617269426,0.958872037392499,0.6231099231505925,0.0045491090936706675,0.37857202070919094
EUR/USD,morning_star,1,920,1102,-5.057438082892543e-05,4.566980635027718e-06,0.0012776067281359527,0.0007684733127202578,0.25146415346048473,0.34594753848679427,2.1524737399184123e-19,1.0826222404630063e-05
EUR/USD,morning_star,3,920,1101,-6.388982853559018e-05,3.862310219121672e-05,0.0020690997276431302,0.0014734188976956283,0.20805320270142288,0.37431990474106336,2.6967193300794807e-14,0.00013684404085805075
EUR/USD,morning_star,5,920,1101,-9.554960573547423e-05,8.313754484802279e-05,0.002734513565672175,0.0019359761151262597,0.09631558086417318,0.1615838848366027,1.9593451887836808e-14,4.638494863235113e-06
EUR/USD,spinning_top,1,2316,2244,-1.9120444264853726e-05,7.087847761150226e-07,0.0011503452852903997,0.0007657986419766274,0.49202046948458,0.9344135196917771,3.0444254272375913e-27,9.774035252523798e-08
EUR/USD,spinning_top,3,2316,2244,-5.719688477265922e-05,-4.6298541577064454e-05,0.002067140186207579,0.0013561319423756242,0.8327980620931184,0.8935643235771349,1.7920334049525524e-30,2.572960854459609e-07
EUR/USD,spinning_top,5,2316,2244,-4.310235752324516e-05,-3.8053212427729896e-05,0.0026073355952481356,0.0017521865956821245,0.9386531213103474,0.8976846719963242,2.81327958609006e-34,1.2643590096292203e-08
