Asset,Pattern,h,High N,Low N,High Mean,Low Mean,High Std,Low Std,Welch t-test p-value,Mann-Whitney p-value,Levene p-value,KS p-value
XAU/USD,bearish_engulfing,1,1121,1619,-5.703220157358459e-05,2.805744812784471e-05,0.0033264005390844275,0.0018396943080283838,0.4366716082237708,0.038254540499884505,2.897404751297179e-20,2.189835992024488e-06
XAU/USD,bearish_engulfing,3,1121,1619,-8.205533974455034e-05,0.00015086157904665805,0.005216874135217402,0.0030550502563058608,0.1792029900881079,0.7104463963594629,1.5912912200821035e-16,0.022386637317246987
XAU/USD,bearish_engulfing,5,1121,1619,-5.348283713068958e-05,0.00020575754907073798,0.00650909341532462,0.003916877553085141,0.23329222557358795,0.48522892567327636,2.54471977608126e-17,0.005956021770581821
XAU/USD,bullish_engulfing,1,1069,1682,-0.00013922005906580703,9.274088576184257e-05,0.002579309876803528,0.001783668760198618,0.010107859991048226,0.026859718855187394,1.4162988803290056e-14,0.00013955610064920418
XAU/USD,bullish_engulfing,3,1068,1682,-0.00022156126718405366,0.0001552715715331055,0.004584824116736677,0.003353377131481471,0.020417353955420516,0.4205248514183697,4.3338675776803254e-09,0.004924809691874764
XAU/USD,bullish_engulfing,5,1068,1682,-0.00013729579334026504,0.00026808931724526326,0.005576271320282374,0.004204583034201859,0.041845851160381344,0.15951820428223484,2.9749922740667647e-09,0.0011263499688855096
XAU/USD,doji,1,1978,1951,-2.8256495502841335e-05,4.71796484309541e-05,0.0023485936220220957,0.001757339664926433,0.25396919516489797,0.47538647431471315,1.9719965433548524e-17,3.197919977481849e-06
XAU/USD,doji,3,1977,1951,2.1805923189539675e-05,0.00014888839287531926,0.004310642445333041,0.0031517874534925296,0.29117248032106385,0.6113124959900121,3.723402946176916e-14,0.0017442662942084343
XAU/USD,doji,5,1977,1951,8.045410989461697e-06,0.00019863305850535866,0.005490535689107606,0.0041115069932516944,0.217850030278537,0.44730873806812743,1.071832016178902e-10,0.004017131696872596
XAU/USD,evening_star,1,679,1377,2.0690904753815876e-06,8.980571241368901e-05,0.0031931851297764533,0.001896099524815107,0.5088934718991738,0.5046770983630325,2.5960553862529428e-14,0.0025838782997853298
XAU/USD,evening_star,3,679,1377,9.555079654068112e-05,0.00011810781738991376,0.0048589418702957455,0.0031067960357740684,0.9121501048255516,0.35734813330106807,5.419373996370131e-14,0.000967118203713165
XAU/USD,evening_star,5,678,1377,0.0001211402593978446,0.00027535114443707066,0.006280198177165556,0.004090970690726483,0.5610332662666129,0.5436147195061561,8.423919155730806e-12,0.029252640518701228
XAU/USD,hammer,1,237,200,-8.946051353069507e-05,-8.600278854514859e-05,0.0027004116148715645,0.001998688210146746,0.9877602324976202,0.6600727727742188,0.0063310247639254864,0.24431452986529134
XAU/USD,hammer,3,237,200,-0.0002973706238375584,5.222405472062463e-05,0.0047297726423779825,0.0030157564149708434,0.35045638969103543,0.7245515442020043,3.9968658394143466e-05,0.1226702790012094
XAU/USD,hammer,5,237,200,-0.0004420253160908801,-3.193731384301131e-05,0.007463726355953084,0.0037298472444272984,0.45795103455702324,0.6203799280370873,1.5812557372277616e-07,0.0019349861940497698
XAU/USD,hanging_man,1,244,249,1.8502315977641072e-05,3.3648545694541326e-05,0.002438762241233555,0.0015626659726551942,0.9347478612661436,0.7249263464052782,0.0002442169687389584,0.09592778219766025
XAU/USD,hanging_man,3,244,249,0.00015211181626781026,0.00018395921847465767,0.0043416410977809025,0.002695425342495179,0.9222823384412359,0.47120402121460303,0.00016858374322910286,0.029145981389881604
XAU/USD,hanging_man,5,244,249,0.00031083388502354295,0.0002130415619717411,0.00524838079030259,0.0038105873546780008,0.8132751948254568,0.38305745120098167,0.0015209607015516774,0.09505303081572819
XAU/USD,morning_star,1,667,1333,-4.771495703579643e-05,-5.832271664966516e-05,0.002920550208265365,0.0019014805067853527,0.9321182992133926,0.4909723922112441,2.4835917348087733e-10,0.004392213304318117
XAU/USD,morning_star,3,667,1333,0.00010583233380999928,2.6970453250114698e-05,0.005080578223166356,0.0033192514298610357,0.7160118955884971,0.4685390738973648,1.3318788528680134e-09,0.012585246178979145
XAU/USD,morning_star,5,667,1333,0.00024175257704511896,0.0001775766305155131,0.006340323995741653,0.004149961783099986,0.8125379156559012,0.5361897729397991,4.825434726710012e-10,0.030062234032535207
XAU/USD,spinning_top,1,2335,2299,-1.4013903934044488e-05,2.993214865769498e-05,0.0025224453277600156,0.0016690512815455039,0.4837074587686476,0.2534146733267695,8.996832846289235e-24,3.5806223244595676e-06
XAU/USD,spinning_top,3,2335,2299,0.00016777861150926368,0.00011805303511649766,0.0041980329315618806,0.0029905322869817966,0.6419866188161174,0.058258989004514365,5.810166053108188e-18,0.00011899964199662249
XAU/USD,spinning_top,5,2334,2299,0.0004772243918247602,0.00014325793104751763,0.005449006125470578,0.003876248526798432,0.016143264423786392,0.002893806850640117,7.836117870475236e-20,4.892420314258029e-06
