Asset,Pattern,h,N_high,Mean_high,Std_high,Median_high,Positive_ratio_high,N_low,Mean_low,Std_low,Median_low,Positive_ratio_low,Welch_ttest_pvalue_high_vs_low,Mann_Whitney_pvalue_high_vs_low,Levene_pvalue_high_vs_low,KS_pvalue_high_vs_low
EUR/USD,bearish_engulfing,1,1483,3.218032696588634e-05,0.0013151652025451006,1.8297089848570398e-05,0.5064059339177344,1939,1.8872873841085846e-06,0.0007701536680000053,0.0,0.4981949458483754,0.4298990913842192,0.55771154808694,4.928137919105206e-46,3.2585977942285107e-12
EUR/USD,bearish_engulfing,3,1483,-5.238682827430921e-06,0.00209574887502702,0.0,0.4983142279163857,1939,-2.424890842412484e-06,0.0014433046810510427,5.5237937429663774e-05,0.51985559566787,0.9646759324948135,0.687356702887282,1.9571404529480434e-27,1.4091864340304858e-07
EUR/USD,bearish_engulfing,5,1483,-4.744102430793684e-06,0.0025802353782457257,3.538852173677506e-05,0.5097774780849629,1939,-1.906860565520388e-05,0.0019036608023594416,7.413104518900985e-05,0.5224342444559051,0.8574466020875584,0.9303294771491725,8.52946908881682e-20,1.0403276728466258e-06
EUR/USD,bullish_engulfing,1,1473,-6.329688172441124e-06,0.0012576801199625158,-1.7245244624309224e-05,0.49287169042769857,1936,-3.645723230639248e-05,0.0007669027641236867,-3.7023182286080816e-05,0.46797520661157027,0.4170457663149858,0.34667566271101413,4.904994886352746e-46,2.0374965602881436e-14
EUR/USD,bullish_engulfing,3,1473,-3.4334412330083184e-05,0.0020267297874911458,-3.61376120305312e-05,0.48879837067209775,1936,-9.476782935098164e-06,0.001481472083983215,0.0,0.49741735537190085,0.6914674571273067,0.591843798831527,1.1858786818166498e-30,7.2525848682909085e-09
EUR/USD,bullish_engulfing,5,1473,-1.8960188254082422e-05,0.0025339419361949363,-9.2759645844833e-06,0.4969450101832994,1936,3.91591316841581e-06,0.0019386266494210577,-1.8568130156689997e-05,0.48708677685950413,0.7732121281648026,0.9314847313227843,3.523813163270619e-20,1.2080621297306037e-05
EUR/USD,doji,1,1598,1.8475497877059182e-05,0.001258894409580561,-2.2371267397841113e-05,0.48435544430538174,2347,1.7098175538732616e-05,0.0007581464457863248,8.961496928518641e-06,0.5036216446527482,0.9687611265633762,0.5346357704032754,1.6901033908659571e-53,1.6729718940760868e-14
EUR/USD,doji,3,1597,-9.269400244816023e-06,0.0019633122294271193,0.0,0.4978083907326237,2347,3.910192979599448e-05,0.0014486094373171836,3.299622193553217e-05,0.5108649339582446,0.4003937290349362,0.6815479152314613,1.7401792828299071e-28,1.5982271174502175e-08
EUR/USD,doji,5,1596,3.472873402439671e-05,0.002509469780127502,4.684894343278169e-05,0.5093984962406015,2347,0.0001208285767943079,0.0018852893821969322,7.126060004420414e-05,0.5210907541542394,0.24403952573717178,0.5219672504079407,6.480663814245603e-26,2.8793163169614375e-08
EUR/USD,evening_star,1,921,-2.528310192661917e-05,0.0014098776529702444,-1.6507370541251233e-05,0.49185667752442996,1153,2.6726373132982294e-05,0.0008007632877952153,3.5334128354637985e-05,0.5307892454466608,0.3183251423316149,0.19550365356735155,1.5100615091117835e-31,1.1686086380201975e-09
EUR/USD,evening_star,3,921,-1.4497538174038166e-05,0.002060339135425198,3.6823257573679104e-05,0.510314875135722,1153,1.4253145317544158e-05,0.0014844289486730415,6.558667281162785e-05,0.5325238508239376,0.7218462969161352,0.7222308951812675,2.6597700553480865e-18,2.466745661003726e-06
EUR/USD,evening_star,5,921,-8.795572934450339e-05,0.002633271477355701,-1.848599685782925e-05,0.49294245385450597,1153,3.4059089954960575e-05,0.0018836188480358502,8.95744319340591e-05,0.5238508239375542,0.2362826417160406,0.16785983299920537,4.73374782203613e-14,0.0001699342024632888
EUR/USD,hammer,1,182,2.466648769461177e-06,0.001231122077743652,8.458381862958477e-05,0.521978021978022,269,-7.0931258649675155e-06,0.0006640495811085123,-9.270547008594658e-06,0.483271375464684,0.9237906509045284,0.6567439064924521,9.114642780539889e-12,0.0025601101252104904
EUR/USD,hammer,3,182,-5.1991947627586424e-05,0.002025387021408962,-7.008974743211288e-05,0.4835164835164835,269,-3.634434756102892e-05,0.0013322074214881495,0.0,0.4944237918215613,0.9270249969150836,0.7708651817038764,5.60997223595459e-06,0.05146720095211662
EUR/USD,hammer,5,182,0.00014650039073203528,0.0025171802190095353,0.00011345615118503791,0.521978021978022,269,7.41506932577508e-05,0.0017457902719733552,0.00020460722156948237,0.5650557620817844,0.7365025039334196,0.8750715638664879,0.0005093504862889906,0.13647428595915342
EUR/USD,hanging_man,1,194,-1.2629633508489586e-05,0.0012029769744259196,6.142004353310059e-05,0.5103092783505154,254,-5.7494762186740644e-05,0.0005822192492029396,-5.117319234507599e-05,0.44881889763779526,0.6327478307314722,0.4261796455208072,1.7501823573342503e-17,0.00020606135367899273
